Location,Renew_twh,Hydro_twh,Wind_twh,Solar_twh,Bio_twh,Geo_twh,Renew_percent,Hydro_percent,Wind_percent,Solar_percent,Bio_percent,Geo_percent
China,2894.0,1226.0,886.0,584.0,198.0,0.2,31.0,13.0,9.0,6.0,2.0,0.0
United States,965.0,239.0,421.0,239.0,47.0,18.0,23.0,6.0,10.0,6.0,1.0,0.4
Brazil,631.0,429.0,96.0,51.0,56.0,0.0,89.0,60.0,13.0,7.0,8.0,0.0
Canada,421.0,364.0,39.0,8.0,10.0,0.0,67.0,58.0,6.0,1.0,2.0,0.0
India,382.0,149.0,82.0,113.0,37.0,0.0,20.0,7.6,4.0,6.5,1.7,0.0
Germany,265.0,20.0,137.0,61.0,46.0,0.2,53.0,4.0,28.0,12.0,9.0,0.04
Japan,224.0,74.0,10.0,97.0,42.0,0.0,22.0,7.0,1.0,10.0,4.0,0.0
Russia,209.0,201.0,5.0,3.0,0.8,0.0,18.0,17.0,0.4,0.2,0.07,0.0
Norway,151.0,136.0,15.0,0.0,0.2,0.02,99.0,89.0,10.0,0.0,0.2,0.01
Spain,144.0,25.0,64.0,49.0,6.0,0.01,51.0,9.0,23.0,17.0,2.0,0.0
France,138.0,57.0,49.0,22.0,10.0,0.6,27.0,11.0,9.0,4.0,2.0,0.1
United Kingdom,135.0,5.0,82.0,14.0,34.0,0.0,47.0,2.0,29.0,5.0,12.0,0.0
Turkey,134.0,64.0,34.0,18.0,8.0,10.0,42.0,20.0,11.0,6.0,3.0,3.0
Vietnam,119.0,81.0,11.0,26.0,0.8,0.0,43.0,29.0,4.0,9.0,0.3,0.0
Italy,116.0,41.0,24.0,31.0,16.0,6.0,45.0,16.0,9.0,12.0,6.0,2.0
Sweden,115.0,66.0,34.0,3.0,12.0,0.0,69.0,40.0,21.0,2.0,7.0,0.0
Australia,95.0,15.0,32.0,45.0,3.0,0.0,35.0,6.0,12.0,16.0,1.0,0.0
Mexico,76.0,20.0,22.0,27.0,7.0,0.0,21.0,6.0,6.0,8.0,2.0,0.0
Indonesia,65.0,25.0,0.5,0.7,22.0,17.0,19.0,7.0,0.1,0.2,6.0,5.0
Venezuela,65.0,65.0,0.02,0.01,0.0,0.0,78.0,78.0,0.02,0.01,0.0,0.0
Austria,60.0,41.0,8.0,6.0,5.0,0.0,85.0,58.0,11.0,9.0,6.0,0.0
Colombia,60.0,56.0,0.06,1.0,2.0,0.0,66.0,62.0,0.07,1.0,3.0,0.0
Chile,57.0,26.0,10.0,17.0,4.0,0.4,65.0,30.0,11.0,19.0,4.0,0.5
Netherlands,57.0,0.07,29.0,20.0,8.0,0.0,47.0,0.06,24.0,16.0,6.0,0.0
South Korea,56.0,4.0,3.0,29.0,19.0,0.0,9.0,0.6,0.6,5.0,3.0,0.0
Argentina,50.0,30.0,14.0,3.0,2.0,0.0,34.0,20.0,10.0,2.0,2.0,0.0
Poland,45.0,2.0,23.0,11.0,8.0,0.0,27.0,1.0,14.0,7.0,5.0,0.0
Paraguay,44.0,44.0,0.0,0.0,0.2,0.0,100.0,99.0,0.0,0.0,0.5,0.0
Pakistan,44.0,34.0,6.0,1.0,2.0,0.0,25.0,20.0,4.0,0.7,1.0,0.0
Switzerland,43.0,39.0,0.2,4.0,0.0,0.0,63.0,55.0,0.2,6.0,0.0,0.0
Finland,42.0,15.0,14.0,0.7,11.0,0.0,51.0,19.0,18.0,0.9,14.0,0.0
Laos,40.0,40.0,0.0,0.08,0.04,0.0,77.0,76.0,0.0,0.1,0.08,0.0
New Zealand,38.0,26.0,4.0,0.4,0.7,8.0,88.0,60.0,8.0,0.8,2.0,18.0
Malaysia,36.0,32.0,0.0,3.0,1.0,0.0,19.0,17.0,0.0,2.0,0.7,0.0
Portugal,34.0,12.0,13.0,5.0,4.0,0.2,75.0,26.0,29.0,11.0,8.0,0.4
Peru,33.0,30.0,2.0,0.8,0.6,0.0,55.0,50.0,3.0,1.0,1.0,0.0
Thailand,30.0,7.0,4.0,5.0,14.0,0.0,16.0,3.0,2.0,3.0,7.0,0.0
South Africa,29.0,2.0,12.0,16.0,0.4,0.0,13.0,0.7,5.0,7.0,0.2,0.0
Denmark,29.0,0.02,19.0,3.0,6.0,0.0,87.0,0.06,58.0,10.0,19.0,0.0
Romania,28.0,18.0,8.0,2.0,0.4,0.0,50.0,32.0,13.0,4.0,0.8,0.0
Belgium,27.0,0.4,15.0,8.0,4.0,0.0,33.0,0.5,19.0,10.0,5.0,0.0
Ecuador,26.0,26.0,0.06,0.04,0.4,0.0,77.0,75.0,0.2,0.1,1.0,0.0
Taiwan,25.0,4.0,6.0,13.0,2.0,0.0,9.0,1.0,2.0,5.0,0.7,0.0
Egypt,25.0,14.0,6.0,5.0,0.0,0.0,11.0,6.0,3.0,2.0,0.0,0.0
Iran,25.0,23.0,1.0,0.8,0.03,0.0,6.0,6.0,0.3,0.2,0.01,0.0
Philippines,25.0,10.0,1.0,2.0,1.0,10.0,22.0,9.0,0.9,2.0,1.0,9.0
Greece,24.0,4.0,11.0,9.0,0.7,0.0,50.0,8.0,22.0,18.0,1.0,0.0
Iceland,20.0,14.0,0.01,0.0,0.0,6.0,100.0,70.0,0.05,0.0,0.0,30.0
